school,date,category,description,details,lat,lng
Boston University,"
04/07/2017
  ","
ANTISEMITIC EXPRESSION
  ","
SJP held the event ""Tel Aviv Night Clubs & West Bank Check Points// Sa'ed Atshan"" to discuss, ""pinkwashing,"" i.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b84855?ref=view_279_per_page%3D1000%26view_279_page%3D3,42.3504997,-71.1053991
Hampshire College,"
04/06/2017
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A swastika was found carved into a couch on the third floor of the library.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b84853?ref=view_279_per_page%3D1000%26view_279_page%3D3,42.3256097,-72.5312799
Claremont Colleges - Pitzer,"
04/06/2017
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
SJP erected a mock ""apartheid wall"" on campus, where one panel called for BDS.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b84851?ref=view_279_per_page%3D1000%26view_279_page%3D3,34.1036159,-117.7038664
Wesleyan University,"
04/06/2017
  ","
ANTISEMITIC EXPRESSION
  ","
Wesleyan Students Against the Fossil Fuel Industry published an article in the school paper in support of SJP's ""Israeli Apartheid Week"" that demonized and delegitimized Israel throughout the article.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b8484f?ref=view_279_per_page%3D1000%26view_279_page%3D3,41.5566104,-72.65690409999999
Seattle University,"
04/06/2017
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A drawing of a swastika was slipped under the door of an undocumented immigrant's student housing unit.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b8484d?ref=view_279_per_page%3D1000%26view_279_page%3D3,47.6091765,-122.3178465
Sacramento State University,"
04/06/2017
  ","
BDS ACTIVITY
  ","
In support of SJP's divestment campaign, SJP held a BDS event called ""CSUS Divest: Workshop.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b8484b?ref=view_279_per_page%3D1000%26view_279_page%3D3,38.5612918,-121.4240519
Claremont Colleges - Pomona,"
04/06/2017
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A Zionist student and President of the Claremont Progressive Jewish Alliance went to SJP's ""apartheid wall"" to take pictures.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b84849?ref=view_279_per_page%3D1000%26view_279_page%3D3,34.101408,-117.713856
Wesleyan University,"
04/06/2017
  ","
BDS ACTIVITY
  ","
SJP held the event, “The Politics of Academic Boycott and Anti-Normalization” with J.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b84846?ref=view_279_per_page%3D1000%26view_279_page%3D3,41.5566104,-72.65690409999999
Purdue University,"
04/06/2017
  ","
ANTISEMITIC EXPRESSION
  ","
SJP held the event, ""Global Feminism & The Struggle for Social Justice.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b84844?ref=view_279_per_page%3D1000%26view_279_page%3D3,40.4237054,-86.92119459999999
"University of Florida, Gainesville","
04/05/2017
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
Pride Student Union of UF pulled support for an event with an Israeli gay speaker that was co-sponsored with the student group This is Israel UF, claiming that it was ""out of respect for and support for the Palestinian community"" and justifying it because ""supporting a political agenda plagued with violence and racism is antisemitic.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b84842?ref=view_279_per_page%3D1000%26view_279_page%3D3,29.6436325,-82.3549302
Florida State University,"
04/05/2017
  ","
ANTISEMITIC EXPRESSION
  ","
SJP held the event, “Zionism and it’s logic.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b84840?ref=view_279_per_page%3D1000%26view_279_page%3D3,30.4418778,-84.2984889
Smith College,"
04/05/2017
  ","
BDS ACTIVITY
  ","
SJP held the event, ""Cultivating Resistance: Food Justice In Palestine (A Teach In).
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b8483e?ref=view_279_per_page%3D1000%26view_279_page%3D3,42.3162992,-72.6403095
Purdue University,"
04/04/2017
  ","
BDS ACTIVITY
  ","
SJP held the event, ""Palestine and the BDS Movement with Ali Abunimah and Wael Elsady.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b8483c?ref=view_279_per_page%3D1000%26view_279_page%3D3,40.4237054,-86.92119459999999
Northeastern University,"
04/04/2017
  ","
BDS ACTIVITY
  ","
SJP held the event, ""Using BDS to Combat South African Apartheid"" to ""learn a lot about how to best apply the practices of BDS"" towards ""pressur[ing] the Israeli government to end its human rights abuses against the Palestinian people.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b8483a?ref=view_279_per_page%3D1000%26view_279_page%3D3,42.3398067,-71.0891717
Northwestern University,"
04/04/2017
  ","
ANTISEMITIC EXPRESSION
  ","
JVP Chicago held an event on campus titled, ""Palestinian Right of Return: Why It Is Just, How It Can Happen"" to advocate for the ""right of return,"" which would effectively eliminate Israel as a Jewish state.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b84838?ref=view_279_per_page%3D1000%26view_279_page%3D3,42.0472222,-87.6758333
Wesleyan University,"
04/04/2017
  ","
ANTISEMITIC EXPRESSION
  ","
As part of ""Israeli Apartheid Week,"" SJP held an event with Vijay Prashad, Professor of International Studies, who spoke about ""Crimes of Apartheid: A UN Report on Israel, BDS and the Backlash.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b84836?ref=view_279_per_page%3D1000%26view_279_page%3D3,41.5566104,-72.65690409999999
Smith College,"
04/03/2017
  ","
ANTISEMITIC EXPRESSION
  ","
SJP held an ""Israeli Apartheid Week"" on campus complete with the erection of a mock ""apartheid wall.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b84832?ref=view_279_per_page%3D1000%26view_279_page%3D3,42.3162992,-72.6403095
Johns Hopkins University,"
04/03/2017
  ","
BDS ACTIVITY
  ","
SJP held the event, ""The History of BDS.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b84834?ref=view_279_per_page%3D1000%26view_279_page%3D3,39.3299013,-76.6205177
Columbia University/Barnard College,"
04/02/2017
  ","
BDS ACTIVITY
  ","
The student government discussed for four hours, and voted on, a motion to include a referendum in the ballot for the upcoming general elections, which would read, “Do you support Columbia University Apartheid Divest’s campaign as part of the Boycott Divestment Sanctions movement?” The motion failed with a vote of 26 against putting the question on the ballot, five for and one abstention.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b84830?ref=view_279_per_page%3D1000%26view_279_page%3D3,40.8090051,-73.9637853
"University of Colorado, Denver","
04/01/2017
  ","
ANTISEMITIC EXPRESSION
  ","
According to the ADL, ""anti-Semitic flyers [were found] at University of Colorado - Denver"".
  ",#incident/search/display-by-date/search/details/5e4c49d7dbcbe90015838a8c?ref=view_279_per_page%3D1000%26view_279_page%3D3,39.7463596,-105.002342
Purdue University,"
04/01/2017
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
According to the ADL, a ""white supremacist sticker featuring a swastika [was] placed on [a] light pole at Purdue University"".
  ",#incident/search/display-by-date/search/details/5e4d7ef90466c500158bec8c?ref=view_279_per_page%3D1000%26view_279_page%3D3,40.4237054,-86.92119459999999
Columbia University/Barnard College,"
04/01/2017
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
According to the ADL, a ""book in the Columbia University library [was] defaced with text [of] 'The ovens were too small, Heil'"".
  ",#incident/search/display-by-date/search/details/5e4c58673a4bb50015d2a6b0?ref=view_279_per_page%3D1000%26view_279_page%3D3,40.8090051,-73.9637853
"University of Wisconsin, Madison","
03/31/2017
  ","
BDS ACTIVITY
  ","
SJP and Wisconsin Union Directorate Society and Politics held the event, ""Spoken Word Justice: Remi Kanazi.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b8482e?ref=view_279_per_page%3D1000%26view_279_page%3D3,43.076592,-89.4124875
Texas A & M University,"
03/31/2017
  ","
ANTISEMITIC EXPRESSION
  ","
Antisemitic posters were found on campus that contained a Jewish star at the top with the text, ""2% of the total U.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b8482c?ref=view_279_per_page%3D1000%26view_279_page%3D3,30.6187558,-96.33647719999999
Bellevue College,"
03/30/2017
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A student found flyers tacked onto cork message boards near the campus cafeteria promoting the group ""Vanguard America"" that had antisemitic and islamophobic messages.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b84829?ref=view_279_per_page%3D1000%26view_279_page%3D3,47.58430380000001,-122.1494195
George Mason University,"
03/30/2017
  ","
ANTISEMITIC EXPRESSION
  ","
Muslim-Jewish Alliance held their first meeting with Taher Herzallah from American Muslims for Palestine.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b84827?ref=view_279_per_page%3D1000%26view_279_page%3D3,38.8298118,-77.3073606
"University of Wisconsin, Madison","
03/29/2017
  ","
ANTISEMITIC EXPRESSION
  ","
In anticipation of an upcoming BDS referendum vote in the student government, SJP released a student petition in support of the resolution that stated, ""we demand the administration draft a public statement condemning all forms of racism including the Occupation of Palestine and the Apartheid Regime of Israel.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b84825?ref=view_279_per_page%3D1000%26view_279_page%3D3,43.076592,-89.4124875
"University of Wisconsin, Madison","
03/29/2017
  ","
ANTISEMITIC EXPRESSION
  ","
The student government held an open forum on a divestment resolution that accused Israel of operating “an apartheid legal system"" and called on UW-Madison to cut ties with companies such as Lockheed Martin, Boeing and Northrop Grumman, which have ties with the Israeli government.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b84823?ref=view_279_per_page%3D1000%26view_279_page%3D3,43.076592,-89.4124875
University of Michigan - Dearborn,"
03/29/2017
  ","
ANTISEMITIC EXPRESSION
  ","
The student paper published an opinion piece by SJP members that reiterated SJP support for a recent divestment bill that had passed, stating, ""In the resolution we recently passed with the UM-Dearborn Student Government, we listed the corporations that invest in the subjugation of Palestinians through apartheid.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b84821?ref=view_279_per_page%3D1000%26view_279_page%3D3,42.31763429999999,-83.2320299
George Mason University,"
03/29/2017
  ","
ANTISEMITIC EXPRESSION
  ","
GMU Students Against Israeli Apartheid held the film screening event, ""Gaza In Context Discussion.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b8481f?ref=view_279_per_page%3D1000%26view_279_page%3D3,38.8298118,-77.3073606
George Washington University,"
03/29/2017
  ","
ANTISEMITIC EXPRESSION
  ","
SJP staged a ""die-in"" on campus as part of their ""Divest This Time"" campaign, advertised as ""GW failed South Africa.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b8481d?ref=view_279_per_page%3D1000%26view_279_page%3D3,38.8998251,-77.0481763
"University of Wisconsin, Madison","
03/29/2017
  ","
BDS ACTIVITY
  ","
SJP published an open letter in the school paper that stressed support for divestment and shared their divestment petition for students to sign.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b8481b?ref=view_279_per_page%3D1000%26view_279_page%3D3,43.076592,-89.4124875
University of Texas Austin,"
03/29/2017
  ","
ANTISEMITIC EXPRESSION
  ","
Palestine Solidarity Committee erected a mock ""apartheid wall"" on campus.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b84819?ref=view_279_per_page%3D1000%26view_279_page%3D3,30.2859399,-97.7317405
San Francisco State University,"
03/29/2017
  ","
ANTISEMITIC EXPRESSION
  ","
GUPS held an event as part of Palestine Awareness Week titled ""Political Discussion and Film Screening.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b84817?ref=view_279_per_page%3D1000%26view_279_page%3D3,37.7241492,-122.4799405
Florida State University,"
03/29/2017
  ","
ANTISEMITIC EXPRESSION
  ","
SJP tabled on campus with a sign that demonized Israeli leaders by taking their quotes out of context.
  ",#incident/search/display-by-date/search/details/5b516e5f9d1f3b0b33b84815?ref=view_279_per_page%3D1000%26view_279_page%3D3,30.4418778,-84.2984889
Green Mountain College,"
03/29/2017
  ","
BDS ACTIVITY
  ","
As part of ""Israeli Apartheid Week,"" SJP held the event, ""Community Discussion with VTJP"" to address ""questions people may have over what is the purpose of Boycott, Divestment, and Sanctions, and to discuss the section of the list of demands that involves BDS (such as taking down the Israeli flag), and the purpose of Students for Justice in Palestine.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b84813?ref=view_279_per_page%3D1000%26view_279_page%3D3,43.5167448,-73.2442058
Oberlin College,"
03/29/2017
  ","
BDS ACTIVITY
  ","
Oberlin Students for a Free Palestine (SFP) held the event, ""Palestine 201 Teach-In"" in part to promote the academic boycott of Israel.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b84811?ref=view_279_per_page%3D1000%26view_279_page%3D3,41.2958696,-82.22108899999999
Spelman College,"
03/29/2017
  ","
ANTISEMITIC EXPRESSION
  ","
The Atlanta University Center (AUC) SJP held a screening of ""Roadmap to Apartheid,"" a film which delegitimizes Israel by falsely accusing it of being an apartheid state.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b8480f?ref=view_279_per_page%3D1000%26view_279_page%3D3,33.7463942,-84.4121327
University of Massachusetts Amherst,"
03/28/2017
  ","
ANTISEMITIC EXPRESSION
  ","
As part of ""Israeli Apartheid Week,"" SJP held the event, ""Deconstructing the David Project"" because, as explained in the advertisement for the event that delegitimized Israel, ""UMass SJP opposes such trips, as they normalize and whitewash the apartheid reality of life for Palestinians.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b84805?ref=view_279_per_page%3D1000%26view_279_page%3D3,42.3867598,-72.5300515
American University,"
03/28/2017
  ","
BDS ACTIVITY
  ","
SJP held the event, ""The BDS Movement: Contexts, Developments, and Future Visions"" as part of ""Israeli Apartheid Week.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b84807?ref=view_279_per_page%3D1000%26view_279_page%3D3,38.9374948,-77.08880289999999
Florida State University,"
03/28/2017
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A swastika was spray-painted on the sidewalk near the Delta Tau Delta fraternity house on Copeland Street, adjacent to Florida State's campus.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b8480d?ref=view_279_per_page%3D1000%26view_279_page%3D3,30.4418778,-84.2984889
Sacramento State University,"
03/28/2017
  ","
BDS ACTIVITY
  ","
SJP published a letter to the editor in the school paper that reiterated the club's support for its divestment bill that ""asked our institution to divest from CAT construction for their role in destroying Palestinian homes on native land and to boycott Sabra Hummus for having companies built on illegal settlements.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b8480b?ref=view_279_per_page%3D1000%26view_279_page%3D3,38.5612918,-121.4240519
George Washington University,"
03/28/2017
  ","
BDS ACTIVITY
  ","
SJP held the event ""Why Divest?"" to discuss the launch of their new ""Divest This Time"" campaign.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b84809?ref=view_279_per_page%3D1000%26view_279_page%3D3,38.8998251,-77.0481763
University of Toledo,"
03/27/2017
  ","
ANTISEMITIC EXPRESSION
  ","
As part of ""Israeli Apartheid Week,"" SJP held the film screening event, ""Pinkwashing Exposed.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b84803?ref=view_279_per_page%3D1000%26view_279_page%3D3,41.6578804,-83.6142374
University of Houston,"
03/27/2017
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
Students for a Democratic Society (SDS) and Students for Justice in Palestine (SJP) hosted a discussion at the University of Houston (UH) called “The Black Radical Tradition and Palestine” with Dr.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b84801?ref=view_279_per_page%3D1000%26view_279_page%3D3,29.7199489,-95.3422334
George Washington University,"
03/27/2017
  ","
ANTISEMITIC EXPRESSION
  ","
SJP, the GW Black Student Union, and the GW Feminist Student Union held the event, ""GWU SJP Palestine Awareness Week Keynote - Angela Davis.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847ff?ref=view_279_per_page%3D1000%26view_279_page%3D3,38.8998251,-77.0481763
University of Houston,"
03/27/2017
  ","
ANTISEMITIC EXPRESSION
  ","
SJP erected a mock ""apartheid wall"" as part of ""Israeli Apartheid Week 2017.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847fd?ref=view_279_per_page%3D1000%26view_279_page%3D3,29.7199489,-95.3422334
University of California System,"
03/26/2017
  ","
ANTISEMITIC EXPRESSION
  ","
UC students who are members of SJP chapters within SJP West (the coalition of SJP groups on the West Coast) wrote an open letter to President Napolitano objecting to the Memorandum of Understanding (MOU) signed between the University of California and the Israel Innovation Authority.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847fb?ref=view_279_per_page%3D1000%26view_279_page%3D3,38.5382322,-121.7617125
CUNY Hunter College,"
03/23/2017
  ","
ANTISEMITIC EXPRESSION
  ","
Palestinian Solidarity Alliance held the event, ""Global Feminist Resistance: Reports from the Frontline.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847f5?ref=view_279_per_page%3D1000%26view_279_page%3D3,40.7678398,-73.9645291
University of California Berkeley,"
03/23/2017
  ","
ANTISEMITIC EXPRESSION
  ","
Bears for Palestine and SJP held the event, “Resistance Through Art: A Night of Spoken Word.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847f3?ref=view_279_per_page%3D1000%26view_279_page%3D3,37.8718992,-122.2585399
Kent State University,"
03/23/2017
  ","
ANTISEMITIC EXPRESSION
  ","
SJP held the event, ""IAW Speaker Event: From South Africa to Palestine"" with Dr.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847f1?ref=view_279_per_page%3D1000%26view_279_page%3D3,41.1455594,-81.33928829999999
University of North Carolina Chapel Hill,"
03/23/2017
  ","
ANTISEMITIC EXPRESSION
  ","
An open letter published in the student paper, the Daily Tarheel, which was written by an alumni, lauded SJP chapters that are ""raising awareness of Israel’s criminality in maintaining the Occupation and Apartheid system, as well as [bringing] attention to the Boycott, Divest, Sanctions movement which (is) a peaceful program to send a message to the Israeli government that it must obey international law or consequences.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847f9?ref=view_279_per_page%3D1000%26view_279_page%3D3,35.9049122,-79.0469134
University of California Berkeley,"
03/23/2017
  ","
ANTISEMITIC EXPRESSION
  ","
SJP re-enacted a ""mock checkpoint"" near an ""apartheid wall"" in the background that read in large letters, ""Israeli Apartheid.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847f7?ref=view_279_per_page%3D1000%26view_279_page%3D3,37.8718992,-122.2585399
Fordham University,"
03/22/2017
  ","
BDS ACTIVITY
  ","
An SJP group not sanctioned by the university, together with the Comparative Literature program, the English department, the Modern Languages department, the African and African American Studies department, the Women, Gender, and Sexuality Studies department, the Latin American and Latino Studies Institute, and the department of Sociology and Anthropology, all sponsored an event titled, ""BDS at Universities"".
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847e1?ref=view_279_per_page%3D1000%26view_279_page%3D3,40.8620404,-73.88569869999999
University of Michigan - Dearborn,"
03/22/2017
  ","
ANTISEMITIC EXPRESSION
  ","
Mock parking tickets were placed on the windshields of cars in a campus lot, which threatened to tow and demolish the cars.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847df?ref=view_279_per_page%3D1000%26view_279_page%3D3,42.31763429999999,-83.2320299
University of Pennsylvania,"
03/22/2017
  ","
ANTISEMITIC EXPRESSION
  ","
SJP and Students Organizing for Unity and Liberation (SOUL) screened the film, ""The Occupation of the American Mind: Israel's Public Relations War in the United States.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847dd?ref=view_279_per_page%3D1000%26view_279_page%3D3,39.9522188,-75.1932137
University of South Carolina,"
03/22/2017
  ","
ANTISEMITIC EXPRESSION
  ","
SJP held the event, ""Sjp@IRIS: Queer Palestinian Activism and Solidarity TeachIn.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847ef?ref=view_279_per_page%3D1000%26view_279_page%3D3,33.9937575,-81.0299186
Kent State University,"
03/22/2017
  ","
ANTISEMITIC EXPRESSION
  ","
As part of ""Israeli Apartheid Week,"" SJP erected an ""apartheid wall"" where one panel had the delegitimizing heading, ""End Israeli Apartheid,"" and another panel said, ""Join the Movement.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847ed?ref=view_279_per_page%3D1000%26view_279_page%3D3,41.1455594,-81.33928829999999
University of Texas Austin,"
03/22/2017
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
Palestine Solidarity Committee planned and executed a protest of the student organization Texans for Israel’s event, ""Israel Block Party.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847eb?ref=view_279_per_page%3D1000%26view_279_page%3D3,30.2859399,-97.7317405
SUNY Binghamton,"
03/22/2017
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A swastika was found in a bathroom stall in the Bartle Library on campus.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847e9?ref=view_279_per_page%3D1000%26view_279_page%3D3,42.0894288,-75.9694885
Haverford College,"
03/22/2017
  ","
BDS ACTIVITY
  ","
Bi-Co held the event, ""Poetic Injustice: Bi-Co SJP Presents Remi Kanazi"" as part of ""Israeli Apartheid Week.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847e7?ref=view_279_per_page%3D1000%26view_279_page%3D3,40.00932419999999,-75.3076619
Bryn Mawr College,"
03/22/2017
  ","
BDS ACTIVITY
  ","
According to an article in Haverford College's student paper (Bryn Mawr College and Haverford College access the same paper, as well as have a joint SJP called Bi-Co SJP), ""The next major project for SJP will be a Boycott-Divest-Sanction (BDS) campaign against Israel.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847e5?ref=view_279_per_page%3D1000%26view_279_page%3D3,40.0278802,-75.3144595
University of Toledo,"
03/22/2017
  ","
ANTISEMITIC EXPRESSION
  ","
SJP created a large banner for display during the upcoming ""Israeli Apartheid Week"" that said, ""Israeli Apartheid Week March 27 - 31""
view more
",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847e5?ref=view_279_per_page%3D1000%26view_279_page%3D3,41.6578804,-83.6142374
Georgetown University,"
03/21/2017
  ","
ANTISEMITIC EXPRESSION
  ","
An article in the school paper demonized Zionism, stating that it is ""an ideology rooted in hate through the displacement of a native people,"" and called for BDS.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847db?ref=view_279_per_page%3D1000%26view_279_page%3D3,38.9089151,-77.07234609999999
University of Texas Austin,"
03/21/2017
  ","
ANTISEMITIC EXPRESSION
  ","
Palestine Solidarity Committee screened numerous parts of the film ""Roadmap to Apartheid,"" which delegitimizes Israel by falsely accusing it of being an apartheid state, in order to ""compar[e]the many similar laws and tools used by both Israel and apartheid-era South Africa.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847d9?ref=view_279_per_page%3D1000%26view_279_page%3D3,30.2859399,-97.7317405
University of California Berkeley,"
03/21/2017
  ","
ANTISEMITIC EXPRESSION
  ","
SJP held a ""die-in"" on campus.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847d7?ref=view_279_per_page%3D1000%26view_279_page%3D3,37.8718992,-122.2585399
Georgetown University,"
03/21/2017
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
Two swastikas were discovered scratched into the elevator of Village C West.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847d5?ref=view_279_per_page%3D1000%26view_279_page%3D3,38.9089151,-77.07234609999999
"Northern Virginia Community College, Annandale","
03/21/2017
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A white supremacist group called ""Aryan Underground,"" (a spin-off group founded by disgruntled members of Vanguard America), posted flyers containing a swastika on tables and around campus.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847d3?ref=view_279_per_page%3D1000%26view_279_page%3D3,38.8333664,-77.23646160000001
Ithaca College,"
03/21/2017
  ","
ANTISEMITIC EXPRESSION
  ","
SJP invited the community to join them for a discussion on ""pinkwashing,"" a demonizing term implying that Israel is malevolently representing itself as a safe haven for LGBQT people in order to hide Israel's ""crimes,"" as well as to discuss ""the (momentary) UN claim that Israel has established an apartheid regime,""
view more
",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847d3?ref=view_279_per_page%3D1000%26view_279_page%3D3,42.421658,-76.498564
Kent State University,"
03/21/2017
  ","
ANTISEMITIC EXPRESSION
  ","
SJP held a screening of ""Roadmap to Apartheid,"" a film which delegitimizes Israel by falsely accusing it of being an apartheid state.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847cf?ref=view_279_per_page%3D1000%26view_279_page%3D3,41.1455594,-81.33928829999999
CUNY Hunter College,"
03/20/2017
  ","
ANTISEMITIC EXPRESSION
  ","
As part of ""Israeli Apartheid Week,"" Palestine Solidarity Alliance of Hunter College held the event ""Divestment 101"" to learn ""about CUNY's first divestment campaign from Israeli Apartheid.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847cd?ref=view_279_per_page%3D1000%26view_279_page%3D3,40.7678398,-73.9645291
CUNY Hunter College,"
03/20/2017
  ","
BDS ACTIVITY
  ","
Palestine Solidarity Alliance at Hunter College tabled on campus as part of ""Israeli Apartheid Week.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847cb?ref=view_279_per_page%3D1000%26view_279_page%3D3,40.7678398,-73.9645291
San Jose State University,"
03/20/2017
  ","
ANTISEMITIC EXPRESSION
  ","
SJP and MEChA held the event ""From Mexico to Palestine: A Night of Solidarity.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847c9?ref=view_279_per_page%3D1000%26view_279_page%3D3,37.3351874,-121.8810715
Northeastern University,"
03/20/2017
  ","
ANTISEMITIC EXPRESSION
  ","
As part of ""Israeli Apartheid Week,"" SJP held the event, ""Palestine 101: A History of Colonialism and Apartheid"" with Professor Eve Spangler.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847c7?ref=view_279_per_page%3D1000%26view_279_page%3D3,42.3398067,-71.0891717
San Diego State University,"
03/20/2017
  ","
ANTISEMITIC EXPRESSION
  ","
As part of ""Palestine Solidarity Month,"" SJP held the event ""Understanding the BDS Movement.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847c5?ref=view_279_per_page%3D1000%26view_279_page%3D3,32.7759894,-117.0712533
New York University,"
03/20/2017
  ","
ANTISEMITIC EXPRESSION
  ","
SJP erected a mock ""apartheid wall"" (in this case, a decorated sheet) on campus that called for the right of return, which would effectively eliminate Israel as a Jewish state.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847c3?ref=view_279_per_page%3D1000%26view_279_page%3D3,40.7381644,-73.97821569999999
San Diego State University,"
03/20/2017
  ","
ANTISEMITIC EXPRESSION
  ","
SJP erected a mock ""apartheid wall"" as part of ""Israeli Apartheid Week"" events.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847c1?ref=view_279_per_page%3D1000%26view_279_page%3D3,32.7759894,-117.0712533
Kent State University,"
03/20/2017
  ","
ANTISEMITIC EXPRESSION
  ","
SJP held the event, ""IAW.
  ",#incident/search/display-by-date/search/details/5b516e5e9d1f3b0b33b847bf?ref=view_279_per_page%3D1000%26view_279_page%3D3,41.1455594,-81.33928829999999
