school,date,category,description,details,lat,lng
Northeastern University,"
03/10/2020
  ","
ANTISEMITIC EXPRESSION
  ","
SJP published a graphic condoning terrorism to accompany the group's announcement of ""Israeli Apartheid Week"" events, which included individuals wearing kefiyyahs and face masks holding rocks and a slingshot superimposed over an image of all of Israel with a gun sight target over it.
  ",#incident/search/display-by-date/search/details/5e67f9d137acab0017f7c3af?ref=view_279_per_page%3D1000%26view_279_page%3D1,42.3398067,-71.0891717
Florida State University,"
03/09/2020
  ","
ANTISEMITIC EXPRESSION
  ","
FSU Students for Justice in Palestine and Gender Odyssey at FSU held the event ""Pinkwashing & Lgbtq+ Rights in Palestine/Israel"".
  ",#incident/search/display-by-date/search/details/5e5d637c8aba9d0018c5941d?ref=view_279_per_page%3D1000%26view_279_page%3D1,30.4418778,-84.2984889
CUNY Queens College,"
03/09/2020
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A swastika was found on a bathroom stall [1] of a university building [2].
  ",#incident/search/display-by-date/search/details/5e69079999dc340015dde084?ref=view_279_per_page%3D1000%26view_279_page%3D1,40.73664369999999,-73.8200894
Brown University,"
03/09/2020
  ","
BDS ACTIVITY
  ","
The Advisory Committee on Corporate Responsibility published [1] their report [2] recommending divestment to President Paxson.
  ",#incident/search/display-by-date/search/details/5e67f6efa1602600155f684b?ref=view_279_per_page%3D1000%26view_279_page%3D1,41.8267718,-71.4025482
University of California Los Angeles,"
03/09/2020
  ","
ANTISEMITIC EXPRESSION
  ","
Graduate Students for Justice in Palestine at UCLA hosted the event ""UCLA: Reportback From the Frontlines in Palestine,"" whose advertisement  stated that the U.
  ",#incident/search/display-by-date/search/details/5e5d5e05e61aa60015b5fb00?ref=view_279_per_page%3D1000%26view_279_page%3D1,34.068921,-118.4451811
University of California Davis,"
03/09/2020
  ","
BDS ACTIVITY
  ","
The UC Davis Graduate Student COLA (Cost of Living Adjustment) and SJP at UCD held the event ""BDS & COLA Teach In"" to discuss, ""How and why are Palestine and the UC connected"" as well as ""how do we talk to co-workers about BDS"".
  ",#incident/search/display-by-date/search/details/5eb462a217ca090015e169da?ref=view_279_per_page%3D1000%26view_279_page%3D1,38.5382322,-121.7617125
Georgetown University,"
03/08/2020
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A Jewish student walking on campus wearing a Kippah was allegedly followed by a group of males who made denigrating remarks, first identifying the student as Jewish and then blaming Jews for bringing CoronaVirus to GW [1,2].
  ",#incident/search/display-by-date/search/details/5e67b8e907823c00155f4561?ref=view_279_per_page%3D1000%26view_279_page%3D1,38.9089151,-77.07234609999999
George Washington University,"
03/08/2020
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
In response to a tweet about GW Jewish students who had attended AIPAC being asked to self-quarantine due to possible CoronaVirus exposure, at least two students at GW replied with antisemitic remarks.
  ",#incident/search/display-by-date/search/details/5e67bb158de5a600155f1c18?ref=view_279_per_page%3D1000%26view_279_page%3D1,38.8998251,-77.0481763
Middlebury College,"
03/06/2020
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
Prior to classes being suspended due to COVID-19, the sign outside the FIC that points to the Jewish center was torn down.
  ",#incident/search/display-by-date/search/details/5eaaec728214970017726484?ref=view_279_per_page%3D1000%26view_279_page%3D1,44.0081076,-73.1760413
Middlebury College,"
03/05/2020
  ","
ANTISEMITIC EXPRESSION
  ","
Shortly before the campus was closed due to the COVID-19 pandemic, racist and antisemitic vandalism was discovered in the bathroom of the Gamut Room.
  ",#incident/search/display-by-date/search/details/5eaaed41bf16610015c11c4a?ref=view_279_per_page%3D1000%26view_279_page%3D1,44.0081076,-73.1760413
